Checksum Id Operacao;Data do Inicio;Data da Deflagracao;Tipo de Operacao;Area;Sigla Unidade Federativa;Sigla Unidade Institucional;Atuacao em Territorio Indigena;Atuacao em Territorio de Fronteira;Qtd Prisao em Flagrante;Qtd Prisao Preventiva;Qtd Prisao Temporaria;Qtd Mandado de Busca e Apreesao;Qtd Valores Apreendidos;Qtd Valores Apreendidos i11;Qtd Valores Descapitalizados;Qtd Prejuizos Causados a Uniao;Proib Ausentar Comarca;Proib Acesso ou Freq;Comparecimento Juizo;Qtd Fianca;Qtd Internacao Prov;Proib Contato;Mand Jud Caut Assec;Recol Domic Noturno;Susp Ex Func Pub A E;Monit Eletronica
15ad17b8eb6acd1f508cd05deadbe339;08/01/2024;08/01/2024;Operacao Simples ;Crimes Contra o Patrimônio                                                                                                      ;PA;SR/PF/PA                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
2265d75ae4b30f82ae419ff078f070aa;08/01/2024;08/01/2024;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;MA;SR/PF/MA                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
0a30afa5374267e53e00d873fb4d54d8;08/01/2024;08/01/2024;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;MA;SR/PF/MA                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
450dcd80b42b54268f4dc9df01193165;08/01/2024;08/01/2024;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;MA;SR/PF/MA                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
5c137cc9ea7373f19e552d71011089c9;08/01/2024;08/01/2024;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;MA;SR/PF/MA                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
7b15749beb8f6fdabd6db7d44cd3e00c;08/01/2024;08/01/2024;Operacao Simples ;Crimes Fazendários                                                                                                              ;SP;DPF/MII/SP                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;R$142.247,50;0;0;0;0;0;0;0;0;0;0
03fa43b4d64a6e550ee401c3e384bac8;07/01/2024;07/01/2024;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
bb1ba12f6b85ecbbb611c472382b629d;07/01/2024;07/01/2024;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
42b74d6a68c76521350615e4d3a34cf7;18/01/2024;07/01/2024;Operacao Simples ;Crimes Fazendários                                                                                                              ;SP;DPF/BRU/SP                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
d2748af987d41448bb4b427810568359;06/01/2024;06/01/2024;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;MA;SR/PF/MA                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
b18ada80aa42846bdf8d3785e2480ff1;05/01/2024;05/01/2024;Operacao de Apoio;Crimes Financeiros                                                                                                              ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
8a41e7a525b2475efb31151d047328ba;05/01/2024;05/01/2024;Operacao de Apoio;Crimes Financeiros                                                                                                              ;DF;SR/PF/DF                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
faef78eaed8483b6a38404b802012f5e;05/01/2024;05/01/2024;Operacao Simples ;Crimes Fazendários                                                                                                              ;MS;SR/PF/MS                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
112e76cf612d8ae6eef9f2209d199113;05/01/2024;05/01/2024;Operacao Simples ;Crimes Fazendários                                                                                                              ;CE;SR/PF/CE                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
8ddf6a696422553d31ac246bbd40ab9a;04/01/2024;04/01/2024;Operacao Simples ;Tráfico de Drogas                                                                                                               ;MS;SR/PF/MS                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
2ac3b7cab1c0e974de23ced698378d78;04/01/2024;04/01/2024;Operacao Simples ;Tráfico de Armas                                                                                                                ;SP;DPF/SOD/SP                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;R$21.846,66;0;0;0;0;0;0;0;0;0;0
bb9a76a1b2fb764644d831cfb3393633;04/01/2024;04/01/2024;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;CE;SR/PF/CE                                                        ;Nao;                                                                                                                                ;0;1;0;1;;;;;0;0;0;0;0;0;0;0;0;0
3666b3f573ac3c96b69fee2e0e854960;04/01/2024;04/01/2024;Operacao Simples ;Crimes de Ódio e Pornografia Infantil                                                                                           ;CE;SR/PF/CE                                                        ;Nao;                                                                                                                                ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
6f64640441c45818db312620080d5b69;04/01/2024;04/01/2024;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;MA;SR/PF/MA                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
ef6da4c34d44800ce3af5dca12233a27;09/01/2024;04/01/2024;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;MT;DPF/ROO/MT                                                      ;Nao;                                                                                                                                ;1;0;0;1;;;;;1;0;0;1;0;0;0;0;0;0
c927f954498df4af24ea6a8c07066df0;03/01/2024;03/01/2024;Operacao Simples ;Crimes Fazendários                                                                                                              ;MS;DPF/DRS/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
65f11885505de8a09952fb95503481ca;02/01/2024;02/01/2024;Operacao de Apoio;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;MA;SR/PF/MA                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
